Time ms,TimeFrame,seq,left_pts_total,right_pts_total,left_0_x,left_0_y,right_0_x,right_0_y,min_dist_left,min_dist_right
60.2020202,1,7919,1,1,768.842,548.89,663.067,539.933,0.00301642,0.00468592
120.4040404,2,7920,1,1,769.159,548.772,664.31,540.091,0.00302426,0.00398337
180.6060606,3,7921,1,1,770.633,549.352,662.148,538.276,0.00304869,0.00461729
240.8080808,4,7922,1,1,767.891,547.33,663.397,537.471,0.00336951,0.00529114
301.010101,5,7923,1,1,766.299,543.84,660.655,535.028,0.00436964,0.00586256
361.2121212,6,7924,1,1,764.906,542.128,662.366,538.584,0.0050064,0.0051706
421.4141414,7,7925,1,1,764.952,545.475,660.034,541.322,0.00416207,0.00470451
481.6161616,8,7926,1,1,764.944,547.995,659.283,540.503,0.00369879,0.00469636
541.8181818,9,7927,1,1,764.994,549.085,661.619,544.646,0.00342891,0.00421236
602.020202,10,7928,1,1,763.845,552.005,660.619,545.919,0.00281312,0.00368959
662.2222222,11,7929,1,1,761.46,554.389,660.083,547.359,0.00245135,0.00371307
722.4242424,12,7930,1,1,761.641,555.568,660.531,549.375,0.00280613,0.00319423
782.6262626,13,7931,1,1,760.766,555.697,661.359,548.688,0.00250909,0.00334794
842.8282828,14,7932,1,1,760.917,556.548,661.429,548.871,0.00204297,0.00334794
903.030303,15,7933,1,1,760.386,555.599,660.051,549.038,0.00243233,0.00314747
963.2323232,16,7934,1,1,759.3,556.015,660.01,550.52,0.00206075,0.00299965
1023.434343,17,7935,1,1,763.237,555.74,660.086,550.339,0.00225228,0.00295539
1083.636364,18,7936,1,1,762.915,555.99,660.085,549.997,0.00199318,0.00310278
1143.838384,19,7937,1,1,764.51,554.257,660.336,550.653,0.00209139,0.00295539
1204.040404,20,7938,1,1,763.764,555.723,661.021,550.838,0.00218285,0.00279744
1264.242424,21,7939,1,1,763.937,556.887,661.224,550.495,0.00214782,0.00287009
1324.444444,22,7940,1,1,763.296,556.324,661.089,551.014,0.00207887,0.00281701
1384.646465,23,7941,1,1,761.605,556.972,662.214,551.011,0.00202893,0.00250296
1444.848485,24,7942,1,1,763.847,555.846,661.257,550.511,0.00186745,0.00287009
1505.050505,25,7943,1,1,764.662,556.285,659.779,550.821,0.00176439,0.00285231
1565.252525,26,7944,1,1,765.724,555.854,659.835,549.658,0.00204785,0.00287666
1625.454545,27,7945,1,1,766.287,556.359,659.247,548.732,0.00182241,0.00282431
1685.656566,28,7946,1,1,766.107,555.879,656.352,550.512,0.00180956,0.00277017
1745.858586,29,7947,1,1,768.476,557.539,651.245,550.938,0.00156729,0.00279414
1806.060606,30,7948,1,1,772.189,555.673,648.215,550.166,0.00173118,0.00262111
1866.262626,31,7949,1,1,774.403,553.885,643.613,549.235,0.00204326,0.00242054
1926.464646,32,7950,1,1,775.821,550.578,639.385,546.148,0.00181733,0.00282794
1986.666667,33,7951,1,1,778.814,552.392,636.332,545.832,0.00167422,0.00259529
2046.868687,34,7952,1,1,785.367,551.162,628.748,541.969,0.00161948,0.00278963
2107.070707,35,7953,1,1,786.075,550.329,622.86,541.828,0.00182866,0.00248917
2167.272727,36,7954,1,1,785.324,552.034,622.237,541.851,0.0013726,0.0025601
2227.474747,37,7955,1,1,785.959,552.688,625.751,544.097,0.0012141,0.0022988
2287.676768,38,7956,1,1,785.175,554.502,626.88,541.611,0.0015757,0.00286468
2347.878788,39,7957,1,1,784.36,552.681,631.854,538.476,0.00244303,0.00419825
2408.080808,40,7958,1,1,771.766,557.55,639.154,528.342,0.00334413,0.00595809
2468.282828,41,7959,1,1,775.573,558.449,643.746,500.125,0.00091169,0.00906882
2528.484848,42,7960,1,1,753.3,491.812,657.378,468.249,0.0147651,0.0154125
2588.686869,43,7961,1,1,752.037,480.864,668.81,468.875,0.00998293,0.0113947
2648.888889,44,7962,1,1,750.377,494.004,673.202,481.342,0.0048967,0.00660991
2709.090909,45,7963,1,1,750.222,501.275,674.458,491.58,0.00317107,0.00410643
2769.292929,46,7964,1,1,749.138,502.354,674.904,494.956,0.00295049,0.00355762
2829.494949,47,7965,1,1,746.398,508.284,675.111,496.674,0.00201393,0.00307012
2889.69697,48,7966,1,1,749.775,508.324,672.425,498.023,0.00191437,0.0030225
2949.89899,49,7967,1,1,750.809,508.212,672.37,498.238,0.0017159,0.00283412
3010.10101,50,7968,1,1,749.551,511.842,672.816,499.54,0.00115081,0.00275598
3070.30303,51,7969,1,1,751.052,512.354,670.836,499.144,0.00130881,0.00263783
3130.505051,52,7970,1,1,751.046,513.724,670.897,499.546,0.000990878,0.00263783
3190.707071,53,7971,1,1,751.786,512.998,669.229,498.553,0.00130881,0.00277534
3250.909091,54,7972,1,1,752.151,513.536,668.242,499.761,0.00134427,0.00281833
3311.111111,55,7973,1,1,754.088,512.643,666.405,499.611,0.00149338,0.0024774
3371.313131,56,7974,1,1,755.804,512.929,660.562,500.199,0.00147629,0.00250689
3431.515152,57,7975,1,1,759.327,509.567,654.254,497.092,0.00138697,0.00285674
3491.717172,58,7976,1,1,761.026,506.746,650.086,497.903,0.00150166,0.00261948
3551.919192,59,7977,1,1,763.859,508.971,647.273,498.87,0.00130536,0.00250864
3612.121212,60,7978,1,1,766.253,508.479,643.144,497.447,0.00129722,0.00238538
3672.323232,61,7979,1,1,768.576,506.603,640.053,494.5,0.00144516,0.00241679
3732.525253,62,7980,1,1,769.014,504.864,637.17,493.043,0.00170218,0.00256711
3792.727273,63,7981,1,1,770.447,503.948,637.302,492.245,0.00176522,0.0025929
3852.929293,64,7982,1,1,768.953,505.89,638.267,492.122,0.00137905,0.00259091
3913.131313,65,7983,1,1,770.638,505.043,637.318,492.804,0.00158924,0.00269812
3973.333333,66,7984,1,1,771.134,503.732,638.413,491.663,0.00193553,0.0028811
4033.535354,67,7985,1,1,763.812,501.719,643.195,482.714,0.00374148,0.0055116
4093.737374,68,7986,1,1,756.856,480.969,645.601,459.798,0.00851511,0.0121967
4153.939394,69,7987,1,1,750.706,456.94,657.154,434.341,0.00844772,0.0167958
4214.141414,70,7988,1,1,753.727,431.839,679.245,450.683,0.0123045,0.00967442
4274.343434,71,7989,1,1,752.362,427.842,669.517,431.392,0.0112905,0.0113015
4334.545455,72,7990,1,1,746.19,451.194,670.163,440.498,0.00480475,0.00755952
4394.747475,73,7991,1,1,751.711,460.039,676.309,448.856,0.00316376,0.00480706
4454.949495,74,7992,1,1,755.273,464.92,678.796,457.197,0.00236325,0.00335249
4515.151515,75,7993,1,1,754.724,469.755,674.35,461.501,0.00195713,0.00247738
4575.353535,76,7994,1,1,754.897,469.172,673.642,463.746,0.00200615,0.00198179
